page,uses_db,uses_api,api_dependencies
/nio/documentupload/create,True,True,Monolith.storage
/nio/documentupload/{id}/toclient,True,False,
/nio/documentupload/{id}/tolead,False,False,
/nio/documentupload/{id}/toplan/{sid},True,False,
/nio/documentupload/{id}/upload/{sid},True,False,
/nio/estateplanning/{id}/currentestateplanning/{sid},True,False,
/nio/estateplanning/{id}/estatenextsteps/{sid},True,False,
/nio/estateplanning/{id}/estateplanningneeds/{sid},True,False,
/nio/factfind/addoreditneedsquestion,True,False,
/nio/factfind/needsandprioritiesquestiondelete,True,False,
/nio/factfind/needsandprioritiesquestionsview,True,False,
/nio/factfind/riskcategories,True,False,
/nio/factfind/saveorupdateneedsquestion,True,False,
/nio/factfindlookup/{id}/retrieveplanpurposesforrefopportunitytype2prodsubtypeid,False,False,
/nio/factfindlookup/{id}/retrieveplanpurposesforrefplan2prodsubtypeid,False,False,
/nio/fileimportdefault/search,True,False,
/nio/fileimporttemplate/listtemplates,False,False,
/nio/fileimporttemplate/{id}/downloadtemplate,False,False,
/nio/group/index,True,False,
/nio/investmentsummary/{id}/saveinvestmentsummary/{sid},True,False,
/nio/leads/addlead,True,True,"Microservice.dpa, Monolith.Crm"
/nio/leads/{id}/addrelationship,True,False,
/nio/leads/{id}/addrelationship/{sid},True,True,Monolith.Crm
/nio/leads/{id}/viewlead,True,True,"Microservice.Author, Monolith.Crm"
/nio/leads/{id}/viewlead/{sid},True,True,"Microservice.Author, Monolith.Crm"
/nio/leads/{id}/viewrelationships/{sid},True,False,
/nio/leadsearch,True,False,
/nio/leadsearch/index,True,False,
/nio/leadsearch/{id}/openlead/{sid},False,False,
/nio/library/{id}/index/{sid},True,False,
/nio/mortgage/{id}/existingmortgage/{sid},True,False,
/nio/mortgage/{id}/existingmortgageredirect/{sid}/mortgage/mortgageprovision,True,False,
/nio/mortgage/{id}/mortgagepreferences/{sid},True,False,
/nio/mortgage/{id}/mortgageprovision/{sid},True,False,
/nio/mortgage/{id}/mortgagerequirementdetails/{sid},True,False,
/nio/mortgage/{id}/mortgagerequirementdetailsredirect/{sid}/mortgage/mortgagerequirements,True,False,
/nio/mortgage/{id}/propertydetailapi/{sid},True,True,Monolith.Crm
/nio/mortgage/{id}/propertydetailapiredirect/{sid}/mortgage/propertydetailsapi,True,False,
/nio/mortgagesummary/{id}/savemortgagesummary/{sid},True,False,
/nio/opportunityclient/{id}/addopportunity,True,False,
/nio/opportunityclient/{id}/addopportunity/{sid},True,False,
/nio/opportunityclient/{id}/deleteopportunity/{sid},True,False,
/nio/opportunityclient/{id}/saveopportunity/{sid},True,False,
/nio/opportunityclient/{id}/viewopportunities,True,True,Microservice.Author
/nio/opportunityclient/{id}/viewopportunity/{sid},True,False,
/nio/organiserclient/{id}/deleterecurrenceactivities/{sid},True,True,Microservice.TimeRecording
/nio/organiserclient/{id}/dialogdeletetask,True,False,
/nio/organiserclient/{id}/listclientactivity,True,False,
/nio/organiserclient/{id}/openyesnodialog,True,False,
/nio/paymentconfiguration/{id}/paymententities/{sid},True,False,
/nio/pensionretirementsummary/{id}/savepensionretirementsummary/{sid},True,False,
/nio/plan/sidebarrefreshclicked,True,False,
/nio/plan/{id}/addfund/{sid},True,False,
/nio/plan/{id}/addnote/{sid},True,False,
/nio/plan/{id}/addstepstosidebar/{sid},True,False,
/nio/plan/{id}/amendsellingadviser/{sid},True,False,
/nio/plan/{id}/changestatus/{sid},True,False,
/nio/plan/{id}/contributionstab/{sid},True,False,
/nio/plan/{id}/contributionstab_save/{sid},True,False,
/nio/plan/{id}/deletenote/{sid},True,False,
/nio/plan/{id}/deleteplanvaluation/{sid},True,False,
/nio/plan/{id}/documenttab/{sid},True,False,
/nio/plan/{id}/fundsholdingstab/{sid},True,False,
/nio/plan/{id}/fundsholdingstab_delete/{sid},True,False,
/nio/plan/{id}/listplansforclient,True,False,
/nio/plan/{id}/listplansforclient/{sid},True,False,
/nio/plan/{id}/listplanvaluationsforclient/{sid},True,False,
/nio/plan/{id}/notestab/{sid},True,False,
/nio/plan/{id}/subplanstab/{sid},True,False,
/nio/plan/{id}/summaryplan/{sid},True,True,Monolith.Crm
/nio/plan/{id}/valuationstab/{sid},True,False,
/nio/plan/{id}/withdrawalstab/{sid},True,False,
/nio/plan/{id}/withdrawalstab_create/{sid},True,False,
/nio/planactions/{id}/addsubplan/{sid},True,True,Microservice.dpa
/nio/plantype/{id}/gatedplantypeselectdialog/{sid},True,False,
/nio/plantype/{id}/gatedwrapperplantypeselectdialog/{sid},True,False,
/nio/plantype/{id}/plantypeselectdialog/{sid},True,False,
/nio/pricemaintenance/fundsearchdialogforplan,True,False,
/nio/productprovider/{id}/fullprovidersearchdialog,True,False,
/nio/productprovider/{id}/fullprovidersearchdialog/{sid},True,False,
/nio/productprovider/{id}/providersearchdialog,True,False,
/nio/productprovider/{id}/providersearchdialog/{sid},True,False,
/nio/profile/{id}/adviceareas/{sid},True,False,
/nio/protection/{id}/buildingsandcontents/{sid},True,False,
/nio/protection/{id}/incomeprotection/{sid},True,False,
/nio/protection/{id}/lifecoverandcic/{sid},True,False,
/nio/protection/{id}/protectionplans/{sid},True,False,
/nio/protection/{id}/protectionplansredirect/{sid}/protection/protectionprovision,True,False,
/nio/protection/{id}/protectionprovision/{sid},True,False,
/nio/providerstatement/productprovidermortgagesearchdialog,True,False,
/nio/recentitems/index,True,False,
/nio/retirement/{id}/annuities/{sid},True,False,
/nio/retirement/{id}/existingretirementprovision/{sid},True,False,
/nio/retirement/{id}/finalsalaryschemes/{sid},True,False,
/nio/retirement/{id}/moneypurchaseschemes/{sid},True,False,
/nio/retirement/{id}/personalpensions/{sid},True,False,
/nio/retirement/{id}/retirementobjective/{sid},True,False,
/nio/retirement/{id}/retirementobjectiveredirect/{sid}/retirement/retirementgoals,True,False,
/nio/sales/{id}/viewearnedincome,True,False,
/nio/salesearch,True,False,
/nio/securityfunctionalarea/{id}/systemindex/{id},True,False,
/nio/termprotectionsummary/{id}/savetermprotectionsummary/{sid},True,False,
/nio/timesheet/istimerecordingavailable,True,False,
/nio/timesheet/timesheetnavigationcallback,False,True,Microservice.TimeRecording
/nio/ui/72485-10155-28010-true/css,True,True,Microservice.Brand
/nio/ui/72485-10155-28019-true/css,True,True,Microservice.Brand
/nio/ui/72485-10155-28021-true/css,True,False,
/nio/user,True,False,
/nio/user/index,True,False,
/nio/user/searchdialog,True,False,
/nio/user/{id}/view,True,False,
/nio/valuationbulksummary/index,True,False,
/nio/warningbanner/{id}/criticalnotebanner/{sid},True,False,
/nio/warningbanner/{id}/sharedclientbanner/{sid},True,False,
/nio/wholeoflifesummary/{id}/savewholeoflifesummary/{sid},True,False,
/nio/workflowadministration/addnewworkflowtemplate,True,True,Microservice.Workflow
/nio/workflowadministration/listtemplatecategories,True,True,Microservice.Workflow
/nio/workflowadministration/listtemplates,True,True,Microservice.Workflow
/nio/workflowadministration/saveorupdatetemplatecategory,False,True,Microservice.Workflow
/nio/workflowadministration/{id}/changestatus,True,True,Microservice.Workflow
/nio/workflowadministration/{id}/changestatus/{sid},False,True,Microservice.Workflow
/nio/workflowadministration/{id}/viewsummary,True,True,Microservice.Workflow
IntelligentOffice.'Account Search',True,False,
IntelligentOffice.'Account',True,True,Microservice.avatar
IntelligentOffice.'Accounts',True,False,
IntelligentOffice.'Activities',True,False,
IntelligentOffice.'Activity Search',True,False,
IntelligentOffice.'Administration',True,False,
IntelligentOffice.'Advice',True,False,
IntelligentOffice.'Adviser Charging',True,False,
IntelligentOffice.'Adviser Types',True,False,
IntelligentOffice.'Adviser Workplace',True,True,Microservice.SecureMessaging
IntelligentOffice.'Advisers',True,False,
IntelligentOffice.'Application Support',True,False,
IntelligentOffice.'Assets & Liabilities',True,True,"Monolith.Portfolio, Monolith.factfind"
IntelligentOffice.'Author',True,False,
IntelligentOffice.'Auto-Matching',True,False,
IntelligentOffice.'Automation',True,False,
IntelligentOffice.'Binders',True,False,
IntelligentOffice.'Breaches',True,False,
IntelligentOffice.'Budget',True,True,Monolith.factfind
IntelligentOffice.'By Data Entity',True,False,
IntelligentOffice.'By Functional Area',True,False,
IntelligentOffice.'By IP Address',True,False,
IntelligentOffice.'By Legal Entity',True,False,
IntelligentOffice.'Campaigns',True,False,
IntelligentOffice.'Cash Receipt Search',True,False,
IntelligentOffice.'Cash Receipts',True,False,
IntelligentOffice.'Client Search',True,True,Microservice.SecureMessaging
IntelligentOffice.'Clients',True,True,Microservice.SecureMessaging
IntelligentOffice.'Communication',True,True,Monolith.campaign
IntelligentOffice.'Complaints Queue',True,False,
IntelligentOffice.'Complaints',True,False,
IntelligentOffice.'Compliance',True,False,
IntelligentOffice.'Dashboard',True,True,Microservice.SecureMessaging
IntelligentOffice.'Data Import',False,False,
IntelligentOffice.'Data Uploader',True,False,
IntelligentOffice.'Delegation - All Users',True,False,
IntelligentOffice.'Delegation - Support Users',True,False,
IntelligentOffice.'Details',True,True,Monolith.Crm
IntelligentOffice.'Diary',True,False,
IntelligentOffice.'Discount Reasons',True,False,
IntelligentOffice.'Document Designer',True,True,Microservice.Author
IntelligentOffice.'Document Search',True,False,
IntelligentOffice.'Document Store',True,False,
IntelligentOffice.'Documents',True,True,Microservice.ClientStorage
IntelligentOffice.'Electronic Imports',True,False,
IntelligentOffice.'Email',True,True,Monolith.campaign
IntelligentOffice.'Employment',True,True,Monolith.factfind
IntelligentOffice.'Estate Planning',True,False,
IntelligentOffice.'Event Lists',True,False,
IntelligentOffice.'Fact Find Preference',True,False,
IntelligentOffice.'Fact Find',True,False,
IntelligentOffice.'Fees & Commission',True,False,
IntelligentOffice.'Fees & Retainers',True,False,
IntelligentOffice.'Fees',True,False,
IntelligentOffice.'File Checking',True,False,
IntelligentOffice.'File Queue',True,False,
IntelligentOffice.'Fund Analysis',True,False,
IntelligentOffice.'Fund Maintenance',True,False,
IntelligentOffice.'Fund Panel',True,False,
IntelligentOffice.'Glossary',True,False,
IntelligentOffice.'Group Charging',True,False,
IntelligentOffice.'Group Reference Data',True,False,
IntelligentOffice.'Group Tasks',True,False,
IntelligentOffice.'Groups',True,False,
IntelligentOffice.'Home',True,True,Microservice.SecureMessaging
IntelligentOffice.'IP Address Management',True,False,
IntelligentOffice.'Income Matching Configuration',True,False,
IntelligentOffice.'Income',True,False,
IntelligentOffice.'Integration',True,False,
IntelligentOffice.'Introducers',True,False,
IntelligentOffice.'Investment',True,False,
IntelligentOffice.'Lead Search',True,False,
IntelligentOffice.'Leads',True,False,
IntelligentOffice.'Legal Entity',True,False,
IntelligentOffice.'Library',True,False,
IntelligentOffice.'License Management',True,False,
IntelligentOffice.'Life Cycle',True,False,
IntelligentOffice.'Lists',True,False,
IntelligentOffice.'MI Reports',True,False,
IntelligentOffice.'Mail Merge',True,False,
IntelligentOffice.'Manage Users',True,False,
IntelligentOffice.'Marketing',True,True,Monolith.campaign
IntelligentOffice.'Model Portfolio',True,True,Monolith.Portfolio
IntelligentOffice.'Modify Adjustment Sub-Types',True,False,
IntelligentOffice.'Mortgage',True,False,
IntelligentOffice.'My Dashboard',True,True,Microservice.SecureMessaging
IntelligentOffice.'My Documents',True,False,
IntelligentOffice.'My Recent Items',True,False,
IntelligentOffice.'My Setup',True,True,Microservice.avatar
IntelligentOffice.'My Tasks',True,True,Microservice.SecureMessaging
IntelligentOffice.'My Time',True,False,
IntelligentOffice.'Objectives',True,False,
IntelligentOffice.'Opportunities',True,False,
IntelligentOffice.'Organisation Management',True,False,
IntelligentOffice.'Organisation',True,False,
IntelligentOffice.'Organiser',True,True,Microservice.SecureMessaging
IntelligentOffice.'Orphan Calls',True,False,
IntelligentOffice.'Orphan Emails',True,False,
IntelligentOffice.'Outstanding Business',True,False,
IntelligentOffice.'PFP',True,True,Monolith.warehouse
IntelligentOffice.'Payee Configuration',False,False,
IntelligentOffice.'Payment Runs',True,False,
IntelligentOffice.'Plans',True,False,
"IntelligentOffice.'Plans','Summary'",True,True,"Microservice.Brand, Microservice.PfpConfig, Monolith.Crm"
IntelligentOffice.'Policy Number',True,False,
IntelligentOffice.'Portals',True,False,
IntelligentOffice.'Portfolio Reports',True,False,
IntelligentOffice.'Post Search',True,False,
IntelligentOffice.'Post-File Checks',True,False,
IntelligentOffice.'Pre Search',True,False,
IntelligentOffice.'Pre-File Checks',True,False,
IntelligentOffice.'Profile',True,False,
IntelligentOffice.'Protection',True,False,
